thinking_mode,agent_id,agent_label,probe_name,probe_label,layer,n_predictions,n_trajectories,n_match_groups,pooled_auroc,mean_fold_auroc,fold_auroc_sd,fold_auroc_min,fold_auroc_max,brier,ece_10_bin
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,16,18,18,9,0.5061728395061729,0.5555555555555556,0.49690399499995325,0.0,1.0,0.3897523227363911,0.4456144824698614
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,24,18,18,9,0.5432098765432098,0.3333333333333333,0.4714045207910317,0.0,1.0,0.31757027615165906,0.3433968949785653
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,32,18,18,9,0.6666666666666666,0.7777777777777778,0.41573970964154905,0.0,1.0,0.2555175080690432,0.31018190150975306
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,40,18,18,9,0.7283950617283951,0.7777777777777778,0.41573970964154905,0.0,1.0,0.2341079917925122,0.24147248105031904
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,48,18,18,9,0.7283950617283951,0.6666666666666666,0.4714045207910317,0.0,1.0,0.21168127312689988,0.2253789587019495
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,56,18,18,9,0.6049382716049383,0.6666666666666666,0.4714045207910317,0.0,1.0,0.2765999248170226,0.3175524014829994
off,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,63,18,18,9,0.4691358024691358,0.4444444444444444,0.49690399499995325,0.0,1.0,0.41686509120269394,0.4785558480727674
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,0,18,18,9,0.48148148148148145,0.4444444444444444,0.49690399499995325,0.0,1.0,0.26548536935179834,0.14897657168612244
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,8,18,18,9,0.6419753086419753,0.4444444444444444,0.49690399499995325,0.0,1.0,0.24150930967806955,0.2862719905681038
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,16,18,18,9,0.5061728395061729,0.5555555555555556,0.49690399499995325,0.0,1.0,0.2819696604850799,0.2288483187549488
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,24,18,18,9,0.2839506172839506,0.3333333333333333,0.4714045207910317,0.0,1.0,0.29063443013485857,0.16568830531927525
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,32,18,18,9,0.5555555555555556,0.7777777777777778,0.41573970964154905,0.0,1.0,0.2593251803062943,0.061360010145401725
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,40,18,18,9,0.41975308641975306,0.5555555555555556,0.49690399499995325,0.0,1.0,0.2806160245902276,0.19598520199333613
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,48,18,18,9,0.43209876543209874,0.4444444444444444,0.49690399499995325,0.0,1.0,0.26789668749790657,0.16302555839156907
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,56,18,18,9,0.41975308641975306,0.4444444444444444,0.49690399499995325,0.0,1.0,0.2638606402839387,0.17895609582143884
off,worker_2,Worker 2,lat_contrast_pair_pca,LAT,63,18,18,9,0.49382716049382713,0.3333333333333333,0.4714045207910317,0.0,1.0,0.26554105931339383,0.22988063664135716
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,0,36,36,9,0.4228395061728395,0.3055555555555556,0.19641855032959654,0.0,0.5,0.4643735168741387,0.44309422254106506
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,8,36,36,9,0.5277777777777778,0.4444444444444444,0.30681558381075724,0.0,1.0,0.3788869096011391,0.36374302386140217
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.5617283950617284,0.5277777777777778,0.3424674446093876,0.0,1.0,0.39791830338556194,0.42785926450083134
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,24,36,36,9,0.5,0.5277777777777778,0.24845199749997662,0.0,0.75,0.38214917926074976,0.37459828007765644
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.5679012345679012,0.5277777777777778,0.21872244094477253,0.25,0.75,0.3451530066248305,0.3442753684125998
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.6327160493827161,0.6944444444444444,0.28327886186626583,0.25,1.0,0.29529622957960433,0.27843924353070654
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.4845679012345679,0.5,0.31180478223116176,0.0,1.0,0.45665596552611565,0.4889012013436642
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,56,36,36,9,0.4722222222222222,0.4444444444444444,0.2290614236454256,0.0,0.75,0.37852944227770186,0.34904175368779333
off,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,63,36,36,9,0.46296296296296297,0.5,0.28867513459481287,0.0,1.0,0.37262676055812727,0.37497356167150175
off,executor_1,Executor,lat_contrast_pair_pca,LAT,0,36,36,9,0.5401234567901234,0.5833333333333334,0.31180478223116176,0.0,1.0,0.2550836823987163,0.0903506450727159
off,executor_1,Executor,lat_contrast_pair_pca,LAT,8,36,36,9,0.5833333333333334,0.5555555555555556,0.2290614236454256,0.0,0.75,0.24999485831403737,0.10795373045452566
off,executor_1,Executor,lat_contrast_pair_pca,LAT,16,36,36,9,0.5524691358024691,0.6111111111111112,0.12422599874998831,0.5,0.75,0.25035503243675744,0.06518922985013502
off,executor_1,Executor,lat_contrast_pair_pca,LAT,24,36,36,9,0.5308641975308642,0.5555555555555556,0.10393492741038726,0.5,0.75,0.25228092922404066,0.051204282347376236
off,executor_1,Executor,lat_contrast_pair_pca,LAT,32,36,36,9,0.5524691358024691,0.5555555555555556,0.10393492741038726,0.5,0.75,0.2494280207996873,0.05260047466942455
off,executor_1,Executor,lat_contrast_pair_pca,LAT,40,36,36,9,0.5864197530864198,0.6666666666666666,0.16666666666666666,0.5,1.0,0.24815041663781198,0.10743666044533345
off,executor_1,Executor,lat_contrast_pair_pca,LAT,48,36,36,9,0.5030864197530864,0.5833333333333334,0.16666666666666666,0.25,0.75,0.25957448345257583,0.17642335993440178
off,executor_1,Executor,lat_contrast_pair_pca,LAT,56,36,36,9,0.5370370370370371,0.5833333333333334,0.2041241452319315,0.25,0.75,0.25451802790534683,0.14154796196106276
off,executor_1,Executor,lat_contrast_pair_pca,LAT,63,36,36,9,0.5648148148148148,0.5277777777777778,0.27498597046143514,0.0,1.0,0.24814037445483303,0.03396035711072215
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,0,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,8,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,24,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,56,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,63,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,0,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
