thinking_mode,agent_id,agent_label,probe_name,probe_label,layer,n_predictions,n_trajectories,n_match_groups,pooled_auroc,mean_fold_auroc,fold_auroc_sd,fold_auroc_min,fold_auroc_max,brier,ece_10_bin
off,executor_1,Executor,lat_contrast_pair_pca,LAT,16,36,36,9,0.5524691358024691,0.6111111111111112,0.12422599874998831,0.5,0.75,0.25035503243675744,0.06518922985013502
off,executor_1,Executor,lat_contrast_pair_pca,LAT,32,36,36,9,0.5524691358024691,0.5555555555555556,0.10393492741038726,0.5,0.75,0.2494280207996873,0.05260047466942455
off,executor_1,Executor,lat_contrast_pair_pca,LAT,40,36,36,9,0.5864197530864198,0.6666666666666666,0.16666666666666666,0.5,1.0,0.24815041663781198,0.10743666044533345
off,executor_1,Executor,lat_contrast_pair_pca,LAT,48,36,36,9,0.5030864197530864,0.5833333333333334,0.16666666666666666,0.25,0.75,0.25957448345257583,0.17642335993440178
off,executor_1,Executor,lat_contrast_pair_pca,LAT,63,36,36,9,0.5648148148148148,0.5277777777777778,0.27498597046143514,0.0,1.0,0.24814037445483303,0.03396035711072215
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,63,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,16,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,32,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,40,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,48,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,planner_1,Planner,lat_contrast_pair_pca,LAT,63,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.5679012345679012,0.7222222222222222,0.3424674446093876,0.0,1.0,0.3741404939586349,0.38262867748181906
on,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.6450617283950617,0.9722222222222222,0.07856742013183861,0.75,1.0,0.38941913195366623,0.40001958804530263
