auroc_delta,auroc_delta_ci_lower,auroc_delta_ci_upper,brier_delta,brier_delta_ci_lower,brier_delta_ci_upper,comparison,ece_delta,ece_delta_ci_lower,ece_delta_ci_upper,label_target,layer,n_match_groups,path_mean_auroc_delta,path_mean_auroc_delta_ci_lower,path_mean_auroc_delta_ci_upper,path_mean_brier_delta,path_mean_brier_delta_ci_lower,path_mean_brier_delta_ci_upper,path_mean_ece_delta,path_mean_ece_delta_ci_lower,path_mean_ece_delta_ci_upper,probe_name,temporal_divergence_mean_delta,temporal_divergence_mean_delta_ci_lower,temporal_divergence_mean_delta_ci_upper,temporal_peak_shift_mean_delta,temporal_peak_shift_mean_delta_ci_lower,temporal_peak_shift_mean_delta_ci_upper,temporal_persistence_mean_delta,temporal_persistence_mean_delta_ci_lower,temporal_persistence_mean_delta_ci_upper,temporal_post_anchor_mean_delta,temporal_post_anchor_mean_delta_ci_lower,temporal_post_anchor_mean_delta_ci_upper,temporal_pre_anchor_mean_delta,temporal_pre_anchor_mean_delta_ci_lower,temporal_pre_anchor_mean_delta_ci_upper,thinking_mode
0.25,0.0,0.25,0.003982924722314984,-0.03690213278182153,0.0448679822264515,3-hop_minus_2-hop,-0.026682806189327224,-0.026682806189327224,0.05280772928551125,injection_present,40,2,0.0,0.0,0.0,-0.03346946304549078,-0.07927478854940176,0.012335862458420221,-0.15776641182595713,-0.15776641182595713,0.03165735496857175,goldowsky_dill_logistic,0.014869160187006264,-0.1749357681549794,0.20467408852899194,0.10711594200966218,5.317408409699631e-07,0.21423135227848356,-0.08333333333333337,-0.33333333333333337,0.16666666666666663,0.014869160187006236,-0.17493576815497935,0.20467408852899194,0.0,0.0,0.0,off
0.25,0.0,0.25,-0.24427466726663355,-0.40667660215286927,-0.08187273238039786,3-hop_minus_2-hop,-0.03091593494110012,-0.2315142714372594,0.16968240155505931,injection_present,40,2,0.25,0.0,0.25,-0.05819793730253833,-0.09351593280275167,-0.02287994180232497,0.006817355815206649,-0.06670136979794172,0.08033608142835508,lat_contrast_pair_pca,0.10381646354485383,-0.11309232496499261,0.32072525205470026,0.1030526658618584,5.784174204048753e-07,0.20610475330629646,0.0,-0.33333333333333337,0.33333333333333326,0.10381646354485374,-0.11309232496499266,0.32072525205470026,0.0,0.0,0.0,off
0.5,0.0,1.0,-0.21965739460878464,-0.5201681132398566,0.08085332402228729,3-hop_minus_2-hop,-0.2513961744961377,-0.519086852264755,0.016294503272479832,injection_present,40,2,0.5,0.0,1.0,-0.04512515756580032,-0.21219107906388254,0.12194076393228198,-0.11226319938087359,-0.2390308960573716,0.014504497295624308,goldowsky_dill_logistic,0.10905830995034826,-0.18100542180151596,0.39912204170221244,-0.027111918913911584,-0.3436695430780547,0.2894457052502315,0.16666666666666663,-0.25,0.5833333333333333,0.10905830995034832,-0.1810054218015159,0.39912204170221244,0.0,0.0,0.0,on
0.5,0.0,1.0,-0.024558884277843085,-0.07428603351995183,0.025168264964265497,3-hop_minus_2-hop,0.03848583796079641,-0.1927231094574634,0.26969478537905633,injection_present,40,2,0.0,-1.0,1.0,0.028081501276645604,-0.14625547369583677,0.202418476249128,-0.009423142125243311,-0.19399424862120473,0.175147964370718,lat_contrast_pair_pca,0.03126143260681234,-0.22132898045789376,0.28385184567151844,-0.004276154694768608,-0.20127270872898995,0.19272039933945262,-0.08333333333333337,-0.16666666666666669,0.0,0.031261432606812245,-0.2213289804578938,0.28385184567151844,0.0,0.0,0.0,on
